Name,goals,games,Nationality
Cristiano Ronaldo,141,183,Portugal
Lionel Messi,125,159,Argentina
Robert Lewandowski,86,110,Poland
Karim Benzema,86,145,France
Raul Gonzalez,71,142,Spain
Ruud van Nistelrooy,60,73,Netherlands
Andriy Shevchenko,59,100,Ukraine
Thomas Muller,52,137,Germany
Thierry Henry,51,112,France
Filippo Inzaghi,50,81,Italy
Alfredo Di Stefano,49,58,Spain
Zlatan Ibrahimovic,49,124,Sweden
Sergio Aguero,47,79,Argentina
Eusebio,47,65,Portugal
Didier Drogba,44,92,Ivory coast
Alessandro Del Piero,43,89,Italy
Neymar,41,79,Brasil
Mohamed Salah,40,75,Egypt
Fernando Morientes,39,93,Spain
Ferenc Puskas,36,41,Hungary
